Prénom,Nom de famille,Numéro d’identification,Adresse de courriel,Groupes
BERNADETTE,BOUTIN,22247937,bernadette.boutin@unice.fr,G0
THIBAULT,JULIEN,22241793,thibault.julien@unice.fr,G1
XAVIER,DOS SANTOS-CARON,22244357,xavier.dos-santos-caron@unice.fr,G2
ZOÉ-CHARLOTTE,MERCIER,22165514,zoe-charlotte.mercier@unice.fr,G3
ÉDOUARD-THIERRY,AUBERT,22159372,edouard-thierry.aubert@unice.fr,G4
THÉODORE,LOMBARD,22252557,theodore.lombard@unice.fr,G5
ANAÏS,COLIN,22141465,anais.colin@unice.fr,G6
ALICE,BESSON,22109212,alice.besson@unice.fr,G7
LUCY,MARTINEAU,22131235,lucy.martineau@unice.fr,G8
BERNARD,DELANNOY,22258211,bernard.delannoy@unice.fr,G9
MARYSE,LE GOFF,22208036,maryse.le-goff@unice.fr,G0
ANAÏS,DE LA PASCAL,22200360,anais.de-la-pascal@unice.fr,G1
HENRI,BERTRAND,22239283,henri.bertrand@unice.fr,G2
BENOÎT,MATHIEU-BERTIN,22195763,benoit.mathieu-bertin@unice.fr,G3
AIMÉ,COURTOIS,22268983,aime.courtois@unice.fr,G4
GILBERT,RIBEIRO-PEREIRA,22150204,gilbert.ribeiro-pereira@unice.fr,G5
NOÉMI-GENEVIÈVE,MARTEL,22225468,noemi-genevieve.martel@unice.fr,G6
PHILIPPE,ROLLAND LE HERVÉ,22115902,philippe.rolland-le-herve@unice.fr,G7
WILLIAM,GERMAIN,22258751,william.germain@unice.fr,G8
LUC,MENDÈS,22273603,luc.mendes@unice.fr,G9
AIMÉ,MARQUES,22264401,aime.marques@unice.fr,G0
ÉRIC,TOUSSAINT,22288468,eric.toussaint@unice.fr,G1
HENRI,PINTO,22207066,henri.pinto@unice.fr,G2
RENÉE,SCHMITT,22190684,renee.schmitt@unice.fr,G3
AIMÉ,BIGOT,22222944,aime.bigot@unice.fr,G4
NATH,COSTE,22112357,nath.coste@unice.fr,G5
GILLES,LOISEAU DE LA DANIEL,22202470,gilles.loiseau-de-la-daniel@unice.fr,G6
STÉPHANE,LE MARIE,22214256,stephane.le-marie@unice.fr,G7
NATHALIE,MALLET,22184560,nathalie.mallet@unice.fr,G8
LÉON,MULLER,22184050,leon.muller@unice.fr,G9
