Prénom,Nom de famille,Numéro d’identification,Adresse de courriel,Groupes
HÉLÈNE,LE MAILLARD,22274050,helene.le-maillard@unice.fr,G0
GENEVIÈVE,GRENIER,22245379,genevieve.grenier@unice.fr,G1
BERTRAND,LELEU,22108165,bertrand.leleu@unice.fr,G2
PAUL,RAMOS,22294538,paul.ramos@unice.fr,G3
PAULINE,WEBER,22183959,pauline.weber@unice.fr,G4
HUGUES,FOURNIER,22290465,hugues.fournier@unice.fr,G5
DOMINIQUE,KLEIN,22288418,dominique.klein@unice.fr,G6
GABRIELLE,ÉTIENNE,22120487,gabrielle.etienne@unice.fr,G7
LUCIE,FISCHER DU LUCAS,22222888,lucie.fischer-du-lucas@unice.fr,G8
RAYMOND,DELAUNAY,22204459,raymond.delaunay@unice.fr,G9
GENEVIÈVE,PEREIRA,22161463,genevieve.pereira@unice.fr,G0
JEAN,PETITJEAN,22229053,jean.petitjean@unice.fr,G1
ROLAND,TRAORE,22290497,roland.traore@unice.fr,G2
CLAUDINE,GUILLAUME,22227010,claudine.guillaume@unice.fr,G3
TIMOTHÉE,ARNAUD,22245443,timothee.arnaud@unice.fr,G4
SYLVIE,DE COHEN,22290507,sylvie.de-cohen@unice.fr,G5
PÉNÉLOPE,LE ROBERT,22112336,penelope.le-robert@unice.fr,G6
EMMANUEL,DUVAL,22229080,emmanuel.duval@unice.fr,G7
CHRISTOPHE,GUILLET,22270041,christophe.guillet@unice.fr,G8
BERNADETTE,DE RENAULT,22134872,bernadette.de-renault@unice.fr,G9
THIBAULT,MARCHAL-LAURENT,22132827,thibault.marchal-laurent@unice.fr,G0
DIANE,MARÉCHAL,22169695,diane.marechal@unice.fr,G1
GRÉGOIRE,DE SOUSA DU MARCHAL,22161503,gregoire.de-sousa-du-marchal@unice.fr,G2
HONORÉ,GUYON LE RIOU,22247525,honore.guyon-le-riou@unice.fr,G3
MICHELLE-CAPUCINE,GARNIER,22198376,michelle-capucine.garnier@unice.fr,G4
PHILIPPE,DE POTTIER,22225001,philippe.de-pottier@unice.fr,G5
NATHALIE,PRÉVOST,22157423,nathalie.prevost@unice.fr,G6
HÉLÈNE,MARION,22104177,helene.marion@unice.fr,G7
ZACHARIE,BAILLY,22247544,zacharie.bailly@unice.fr,G8
GABRIEL,DENIS,22192253,gabriel.denis@unice.fr,G9
GABRIEL,BERTHELOT DE LA VERDIER,22263936,gabriel.berthelot-de-la-verdier@unice.fr,G0
JULIEN,BLOT,22141064,julien.blot@unice.fr,G1
