Nom;Prénom;Numéro Étudiant;Email;Amphi;Place
DUPUY;JOSETTE;22216099;josette.dupuy@unice.fr;Petit_Valrose;C-1-3;
FAURE;JEANNINE;22226564;jeannine.faure@unice.fr;Petit_Valrose;C-1-4;
CONRADO CARRASCO NIÑO;HERNANDO;22141923;hernando.conrado-carrasco-nino@unice.fr;Petit_Valrose;C-3-1;
BOUCHER;DANIEL;22261485;daniel.boucher@unice.fr;Petit_Valrose;C-3-2;
COLIN;MADELEINE;22277778;madeleine.colin@unice.fr;Petit_Valrose;C-3-3;
DE LA LECOMTE;RÉMY;22206666;remy.de-la-lecomte@unice.fr;Petit_Valrose;C-3-4;
YUSTE VILLAR;BERNARDA;22114212;bernarda.yuste-villar@unice.fr;Petit_Valrose;C-5-1;
BOUCHER-COHEN;FRANÇOIS;22262999;francois.boucher-cohen@unice.fr;Petit_Valrose;C-5-2;
COSTE;NATH;22112357;nath.coste@unice.fr;Petit_Valrose;C-5-3;
DE LA PASCAL;ANAÏS;22200360;anais.de-la-pascal@unice.fr;Petit_Valrose;C-5-4;
AUBERT;ÉDOUARD-THIERRY;22159372;edouard-thierry.aubert@unice.fr;Petit_Valrose;C-7-1;
BOUTIN;BERNADETTE;22247937;bernadette.boutin@unice.fr;Petit_Valrose;C-7-2;
COURTOIS;AIMÉ;22268983;aime.courtois@unice.fr;Petit_Valrose;C-7-3;
DELANNOY;BERNARD;22258211;bernard.delannoy@unice.fr;Petit_Valrose;C-7-4;
BAILLY;OCÉANE;22103357;oceane.bailly@unice.fr;Petit_Valrose;C-9-1;
CAMUS;CATHERINE;22244030;catherine.camus@unice.fr;Petit_Valrose;C-9-2;
DA COSTA;CHRISTINE;22197144;christine.da-costa@unice.fr;Petit_Valrose;C-9-3;
DELANNOY;LORRAINE;22158659;lorraine.delannoy@unice.fr;Petit_Valrose;C-9-4;
BERTRAND;HENRI;22239283;henri.bertrand@unice.fr;Petit_Valrose;C-11-1;
CARRE;ANAÏS;22142702;anais.carre@unice.fr;Petit_Valrose;C-11-2;
DE BAUDRY;GEORGES;22133910;georges.de-baudry@unice.fr;Petit_Valrose;C-11-3;
DESCAMPS;WILLIAM;22138638;william.descamps@unice.fr;Petit_Valrose;C-11-4;
BESSON;ALICE;22109212;alice.besson@unice.fr;Petit_Valrose;C-13-1;
