Nom;Prénom;Numéro Étudiant;Email;Amphi;Place
DELANNOY;BERNARD;22258211;bernard.delannoy@unice.fr;Chimie;B-5-2;/home/denis/00_Universite/BousGit/AC_BousGit/DataExemple/Amphi_Chimie/pngOut/Chimie_B-5-2.png
MATHIEU-BERTIN;BENOÎT;22195763;benoit.mathieu-bertin@unice.fr;Chimie;B-5-3;/home/denis/00_Universite/BousGit/AC_BousGit/DataExemple/Amphi_Chimie/pngOut/Chimie_B-5-3.png
MARQUES;AIMÉ;22264401;aime.marques@unice.fr;Chimie;B-5-4;/home/denis/00_Universite/BousGit/AC_BousGit/DataExemple/Amphi_Chimie/pngOut/Chimie_B-5-4.png
MERCIER;ZOÉ-CHARLOTTE;22165514;zoe-charlotte.mercier@unice.fr;Chimie;B-7-1;/home/denis/00_Universite/BousGit/AC_BousGit/DataExemple/Amphi_Chimie/pngOut/Chimie_B-7-1.png
LE GOFF;MARYSE;22208036;maryse.le-goff@unice.fr;Chimie;B-7-2;/home/denis/00_Universite/BousGit/AC_BousGit/DataExemple/Amphi_Chimie/pngOut/Chimie_B-7-2.png
COURTOIS;AIMÉ;22268983;aime.courtois@unice.fr;Chimie;B-7-3;/home/denis/00_Universite/BousGit/AC_BousGit/DataExemple/Amphi_Chimie/pngOut/Chimie_B-7-3.png
TOUSSAINT;ÉRIC;22288468;eric.toussaint@unice.fr;Chimie;B-7-4;/home/denis/00_Universite/BousGit/AC_BousGit/DataExemple/Amphi_Chimie/pngOut/Chimie_B-7-4.png
AUBERT;ÉDOUARD-THIERRY;22159372;edouard-thierry.aubert@unice.fr;Chimie;B-9-1;/home/denis/00_Universite/BousGit/AC_BousGit/DataExemple/Amphi_Chimie/pngOut/Chimie_B-9-1.png
RIBEIRO-PEREIRA;GILBERT;22150204;gilbert.ribeiro-pereira@unice.fr;Chimie;B-9-3;/home/denis/00_Universite/BousGit/AC_BousGit/DataExemple/Amphi_Chimie/pngOut/Chimie_B-9-3.png
PINTO;HENRI;22207066;henri.pinto@unice.fr;Chimie;B-9-4;/home/denis/00_Universite/BousGit/AC_BousGit/DataExemple/Amphi_Chimie/pngOut/Chimie_B-9-4.png
